
Y: 1: -1214696129 -194714603 589 -1741175384
Y: 1: -1214696129 -194714603 589 -1741175384
Y: 1: -1214696418 -194866906 589 -1745896777
Y: 1: -1214696418 -194866906 589 -1745896777
Y: 2: 426997619 1676044412 -654078890 589 1198400903
Y: 2: 426997619 1676044412 -654078890 589 1198400903
Y: 1: -1214696129 -194714603 589 -1741175384
Y: 2: 426997330 1676044123 -658952586 589 1047316327
Y: 2: 426997330 1676044123 -658952586 589 1047316327
Y: 3: -1240534656 1159988036 874045527 873037539 589 1294369946
Y: 3: -1240534656 1001388218 437050150 1324760666 589 -1882082301
Y: 3: -1240534656 1001388218 437050150 1324760666 589 -1882082301
Y: 3: -1240534656 1001388218 874045527 -306909639 589 -924254204
Y: 3: -1240534945 1001387929 437049861 1173523787 589 2019509042
Y: 3: -1240534945 1001387929 437049861 1173523787 589 2019509042
Y: 3: 379503409 1001388218 722992659 1802925020 589 56110785
Y: 3: -1240534656 1159988036 437050150 -1790259452 589 336541849
Y: 3: -1391339920 874045527 715445709 -1388118944 589 -82004291
Y: 3: -1391339920 874045527 715445709 -1388118944 589 -82004291
Y: 3: -1391339920 715445709 715445709 1726901174 589 1994338855
Y: 3: -1391340209 874045238 715445420 -1539355823 589 -475380244
Y: 3: -1391340209 874045238 715445420 -1539355823 589 -475380244
Y: 3: -1240534656 1159988036 715445709 -1104687923 589 114422768
Y: 3: -1391339920 437050150 715445709 1949020255 589 290095774
Y: 3: -1391339920 437050150 715445709 1949020255 589 290095774
Y: 3: -1391339920 874045527 715445709 -1388118944 589 -82004291
Y: 3: -1391340209 437049861 715445420 1797783376 589 -103280179
Y: 3: -1391340209 437049861 715445420 1797783376 589 -103280179
Y: 3: -1240534656 722992659 715445709 -2062516020 589 486522833
Y: 3: -1391339920 437050150 874045527 -368221579 589 1470042952
Y: 3: -1391339920 437050150 874045527 -368221579 589 1470042952
Y: 3: -1391339920 437050150 715445709 1949020255 589 290095774
Y: 3: -1391340209 437049861 874045238 -519458458 589 1076666999
Y: 3: -1391340209 437049861 874045238 -519458458 589 1076666999
Y: 3: -1240534656 722992659 874045527 -84790558 589 1666470011
Y: 3: -1391339920 437050150 437050150 1263448726 589 512214855
Y: 3: -1391339920 437050150 437050150 1263448726 589 512214855
Y: 3: -1391339920 437050150 874045527 -368221579 589 1470042952
Y: 3: -1391340209 437049861 437049861 1112211847 589 118838902
Y: 3: -1391340209 437049861 437049861 1112211847 589 118838902
Y: 3: -1240534656 722992659 437050150 1546879747 589 708641914
Y: 3: -1391339920 874045527 874045527 589606518 589 1097942887
Y: 3: -1391339920 874045527 874045527 589606518 589 1097942887
Y: 3: -1391339920 874045527 715445709 -1388118944 589 -82004291
Y: 3: -1391340209 874045238 874045238 438369639 589 704566934
Y: 3: -1391340209 874045238 874045238 438369639 589 704566934
Y: 3: -1240534656 1159988036 874045527 873037539 589 1294369946
Y: 3: -1391339920 437050150 874045527 -368221579 589 1470042952
Y: 3: -1391339920 874045527 437050150 -2073690473 589 140114790
Y: 3: -1391339920 874045527 437050150 -2073690473 589 140114790
Y: 3: -1391339920 874045527 874045527 589606518 589 1097942887
Y: 3: -1391340209 874045238 437049861 2070039944 589 -253261163
Y: 3: -1391340209 874045238 437049861 2070039944 589 -253261163
Y: 3: -1240534656 1159988036 437050150 -1790259452 589 336541849
Y: 3: -1391339920 437050150 437050150 1263448726 589 512214855
Y: 3: -1391339920 715445709 874045527 -590340660 589 -1120681263
Y: 3: -1391339920 715445709 874045527 -590340660 589 -1120681263
Y: 3: -1391339920 715445709 715445709 1726901174 589 1994338855
Y: 3: -1391340209 715445420 874045238 -741577539 589 -1514057216
Y: 3: -1391340209 715445420 874045238 -741577539 589 -1514057216
Y: 3: -1240534656 1001388218 874045527 -306909639 589 -924254204
Y: 3: -1391339920 874045527 874045527 589606518 589 1097942887
Y: 3: -1391339920 715445709 437050150 1041329645 589 -2078509360
Y: 3: -1391339920 715445709 437050150 1041329645 589 -2078509360
Y: 3: -1391339920 715445709 874045527 -590340660 589 -1120681263
Y: 3: -1391340209 715445420 437049861 890092766 589 1823081983
Y: 3: -1391340209 715445420 437049861 890092766 589 1823081983
Y: 3: -1240534656 1001388218 437050150 1324760666 589 -1882082301
Y: 3: -1391339920 874045527 437050150 -2073690473 589 140114790
Y: 3: 1283589311 874045527 1676044412 -2069060862 589 283632731
Y: 3: 1283589311 874045527 1676044412 -2069060862 589 283632731
Y: 3: 1283589311 715445709 1676044412 1045959256 589 -1934991419
Y: 3: 1283589022 874045238 1676044123 2074669555 589 -109743222
Y: 3: 1283589022 874045238 1676044123 2074669555 589 -109743222
Y: 3: -1391339920 874045527 715445709 -1388118944 589 -82004291
Y: 3: 1283589311 437050150 1676044412 1268078337 589 655732796
Y: 3: 1283589311 437050150 1676044412 1268078337 589 655732796
Y: 3: 1283589311 874045527 1676044412 -2069060862 589 283632731
Y: 3: 1283589022 437049861 1676044123 1116841458 589 262356843
Y: 3: 1283589022 437049861 1676044123 1116841458 589 262356843
Y: 3: -1391339920 437050150 715445709 1949020255 589 290095774
Y: 3: 1283589311 437050150 1834644230 -1049163497 589 1835679974
Y: 3: 1283589311 437050150 1834644230 -1049163497 589 1835679974
Y: 3: 1283589311 437050150 1676044412 1268078337 589 655732796
Y: 3: 1283589022 437049861 1834643941 -1200400376 589 1442304021
Y: 3: 1283589022 437049861 1834643941 -1200400376 589 1442304021
Y: 3: -1391339920 437050150 874045527 -368221579 589 1470042952
Y: 3: 1283589311 437050150 1397648853 582506808 589 877851877
Y: 3: 1283589311 437050150 1397648853 582506808 589 877851877
Y: 3: 1283589311 437050150 1834644230 -1049163497 589 1835679974
Y: 3: 1283589022 437049861 1397648564 431269929 589 484475924
Y: 3: 1283589022 437049861 1397648564 431269929 589 484475924
Y: 3: -1391339920 437050150 437050150 1263448726 589 512214855
Y: 3: 1283589311 874045527 1834644230 -91335400 589 1463579909
Y: 3: 1283589311 874045527 1834644230 -91335400 589 1463579909
Y: 3: 1283589311 874045527 1676044412 -2069060862 589 283632731
Y: 3: 1283589022 874045238 1834643941 -242572279 589 1070203956
Y: 3: 1283589022 874045238 1834643941 -242572279 589 1070203956
Y: 3: -1391339920 874045527 874045527 589606518 589 1097942887
Y: 3: 1283589311 437050150 1834644230 -1049163497 589 1835679974
Y: 3: 1283589311 874045527 1397648853 1540334905 589 505751812
Y: 3: 1283589311 874045527 1397648853 1540334905 589 505751812
Y: 3: 1283589311 874045527 1834644230 -91335400 589 1463579909
Y: 3: 1283589022 874045238 1397648564 1389098026 589 112375859
Y: 3: 1283589022 874045238 1397648564 1389098026 589 112375859
Y: 3: -1391339920 874045527 437050150 -2073690473 589 140114790
Y: 3: 1283589311 437050150 1397648853 582506808 589 877851877
Y: 3: 1283589311 715445709 1834644230 -1271282578 589 -755044241
Y: 3: 1283589311 715445709 1834644230 -1271282578 589 -755044241
Y: 3: 1283589311 715445709 1676044412 1045959256 589 -1934991419
Y: 3: 1283589022 715445420 1834643941 -1422519457 589 -1148420194
Y: 3: 1283589022 715445420 1834643941 -1422519457 589 -1148420194
Y: 3: -1391339920 715445709 874045527 -590340660 589 -1120681263
Y: 3: 1283589311 874045527 1834644230 -91335400 589 1463579909
Y: 3: 1283589311 715445709 1397648853 360387727 589 -1712872338
Y: 3: 1283589311 715445709 1397648853 360387727 589 -1712872338
Y: 3: 1283589311 715445709 1834644230 -1271282578 589 -755044241
Y: 3: 1283589022 715445420 1397648564 209150848 589 -2106248291
Y: 3: 1283589022 715445420 1397648564 209150848 589 -2106248291
Y: 3: -1391339920 715445709 437050150 1041329645 589 -2078509360
Y: 3: 1283589311 874045527 1397648853 1540334905 589 505751812
Y: 3: -847112627 1834644230 1676044412 -1124660301 589 -504720950
Y: 3: -847112627 1834644230 1676044412 -1124660301 589 -504720950
Y: 3: -847112627 1676044412 1676044412 1990359817 589 1571622196
Y: 3: -847112916 1834643941 1676044123 -1275897180 589 -898096903
Y: 3: -847112916 1834643941 1676044123 -1275897180 589 -898096903
Y: 3: 1283589311 874045527 1676044412 -2069060862 589 283632731
Y: 3: -847112627 1397648853 1676044412 -2082488398 589 -132620885
Y: 3: -847112627 1397648853 1676044412 -2082488398 589 -132620885
Y: 3: -847112627 1834644230 1676044412 -1124660301 589 -504720950
Y: 3: -847112916 1397648564 1676044123 2061242019 589 -525996838
Y: 3: -847112916 1397648564 1676044123 2061242019 589 -525996838
Y: 3: 1283589311 437050150 1676044412 1268078337 589 655732796
Y: 3: -847112627 1397648853 1834644230 -104762936 589 1047326293
Y: 3: -847112627 1397648853 1834644230 -104762936 589 1047326293
Y: 3: -847112627 1397648853 1676044412 -2082488398 589 -132620885
Y: 3: -847112916 1397648564 1834643941 -255999815 589 653950340
Y: 3: -847112916 1397648564 1834643941 -255999815 589 653950340
Y: 3: 1283589311 437050150 1834644230 -1049163497 589 1835679974
Y: 3: -847112627 1397648853 1397648853 1526907369 589 89498196
Y: 3: -847112627 1397648853 1397648853 1526907369 589 89498196
Y: 3: -847112627 1397648853 1834644230 -104762936 589 1047326293
Y: 3: -847112916 1397648564 1397648564 1375670490 589 -303877757
Y: 3: -847112916 1397648564 1397648564 1375670490 589 -303877757
Y: 3: 1283589311 437050150 1397648853 582506808 589 877851877
Y: 3: -847112627 1834644230 1834644230 853065161 589 675226228
Y: 3: -847112627 1834644230 1834644230 853065161 589 675226228
Y: 3: -847112627 1834644230 1676044412 -1124660301 589 -504720950
Y: 3: -847112916 1834643941 1834643941 701828282 589 281850275
Y: 3: -847112916 1834643941 1834643941 701828282 589 281850275
Y: 3: 1283589311 874045527 1834644230 -91335400 589 1463579909
Y: 3: -847112627 1397648853 1834644230 -104762936 589 1047326293
Y: 3: -847112627 1834644230 1397648853 -1810231830 589 -282601869
Y: 3: -847112627 1834644230 1397648853 -1810231830 589 -282601869
Y: 3: -847112627 1834644230 1834644230 853065161 589 675226228
Y: 3: -847112916 1834643941 1397648564 -1961468709 589 -675977822
Y: 3: -847112916 1834643941 1397648564 -1961468709 589 -675977822
Y: 3: 1283589311 874045527 1397648853 1540334905 589 505751812
Y: 3: -847112627 1397648853 1397648853 1526907369 589 89498196
Y: 3: -847112627 1676044412 1834644230 -326882017 589 -1543397922
Y: 3: -847112627 1676044412 1834644230 -326882017 589 -1543397922
Y: 3: -847112627 1676044412 1676044412 1990359817 589 1571622196
Y: 3: -847112916 1676044123 1834643941 -478118896 589 -1936773875
Y: 3: -847112916 1676044123 1834643941 -478118896 589 -1936773875
Y: 3: 1283589311 715445709 1834644230 -1271282578 589 -755044241
Y: 3: -847112627 1834644230 1834644230 853065161 589 675226228
Y: 3: -847112627 1676044412 1397648853 1304788288 589 1793741277
Y: 3: -847112627 1676044412 1397648853 1304788288 589 1793741277
Y: 3: -847112627 1676044412 1834644230 -326882017 589 -1543397922
Y: 3: -847112916 1676044123 1397648564 1153551409 589 1400365324
Y: 3: -847112916 1676044123 1397648564 1153551409 589 1400365324
Y: 3: 1283589311 715445709 1397648853 360387727 589 -1712872338
Y: 3: -847112627 1834644230 1397648853 -1810231830 589 -282601869
Y: 2: 426997619 1834644230 1323646572 589 -1916619215
Y: 2: 426997619 1834644230 1323646572 589 -1916619215
Y: 2: 426997619 1676044412 -654078890 589 1198400903
Y: 2: 426997330 1834643941 1318772876 589 -2067703791
Y: 2: 426997330 1834643941 1318772876 589 -2067703791
Y: 3: -847112627 1834644230 1676044412 -1124660301 589 -504720950
Y: 2: 426997619 1397648853 -1339650419 589 1420519984
Y: 2: 426997619 1397648853 -1339650419 589 1420519984
Y: 2: 426997619 1834644230 1323646572 589 -1916619215
Y: 2: 426997330 1397648564 -1344524115 589 1269435408
Y: 2: 426997330 1397648564 -1344524115 589 1269435408
Y: 3: -847112627 1397648853 1676044412 -2082488398 589 -132620885
